cryptocurrency_id,timestamp,current_supply
bitcoin,2014-05-30,12835114
bitcoin,2014-05-31,12838789
bitcoin,2014-06-01,12843164
bitcoin,2014-06-02,12847989
bitcoin,2014-06-03,12852439
bitcoin,2014-06-04,12856964
bitcoin,2014-06-05,12860764
bitcoin,2014-06-06,12864239
bitcoin,2014-06-07,12868114
bitcoin,2014-06-08,12871514
bitcoin,2014-06-09,12875414
bitcoin,2014-06-10,12879589
bitcoin,2014-06-11,12883239
bitcoin,2014-06-12,12887539
bitcoin,2014-06-13,12891614
bitcoin,2014-06-14,12896064
bitcoin,2014-06-15,12900814
bitcoin,2014-06-16,12905514
bitcoin,2014-06-17,12910114
bitcoin,2014-06-18,12914064
bitcoin,2014-06-19,12918239
bitcoin,2014-06-20,12922889
bitcoin,2014-06-21,12927539
bitcoin,2014-06-22,12932039
bitcoin,2014-06-23,12936439
bitcoin,2014-06-24,12941139
bitcoin,2014-06-25,12945814
bitcoin,2014-06-26,12950089
bitcoin,2014-06-27,12955014
bitcoin,2014-06-28,12959564
bitcoin,2014-06-29,12963489
bitcoin,2014-06-30,12966789
bitcoin,2014-07-01,12970114
bitcoin,2014-07-02,12973539
bitcoin,2014-07-03,12977014
bitcoin,2014-07-04,12981164
bitcoin,2014-07-05,12984964
bitcoin,2014-07-06,12988514
bitcoin,2014-07-07,12992264
bitcoin,2014-07-08,12996014
bitcoin,2014-07-09,13000164
bitcoin,2014-07-10,13003889
bitcoin,2014-07-11,13007789
bitcoin,2014-07-12,13011714
bitcoin,2014-07-13,13015714
bitcoin,2014-07-14,13019089
bitcoin,2014-07-15,13023064
bitcoin,2014-07-16,13026664
bitcoin,2014-07-17,13030964
bitcoin,2014-07-18,13035264
bitcoin,2014-07-19,13039689
bitcoin,2014-07-20,13043564
bitcoin,2014-07-21,13047439
bitcoin,2014-07-22,13050989
bitcoin,2014-07-23,13054639
bitcoin,2014-07-24,13058214
bitcoin,2014-07-25,13062289
bitcoin,2014-07-26,13065639
bitcoin,2014-07-27,13069464
bitcoin,2014-07-28,13073214
bitcoin,2014-07-29,13076939
bitcoin,2014-07-30,13081239
bitcoin,2014-07-31,13085089
bitcoin,2014-08-01,13089014
bitcoin,2014-08-02,13093089
bitcoin,2014-08-03,13096939
bitcoin,2014-08-04,13100139
bitcoin,2014-08-05,13103514
bitcoin,2014-08-06,13107614
bitcoin,2014-08-07,13111614
bitcoin,2014-08-08,13115564
bitcoin,2014-08-09,13120114
bitcoin,2014-08-10,13124539
bitcoin,2014-08-11,13129089
bitcoin,2014-08-12,13133439
bitcoin,2014-08-13,13137064
bitcoin,2014-08-14,13141564
bitcoin,2014-08-15,13145689
bitcoin,2014-08-16,13149639
bitcoin,2014-08-17,13153889
bitcoin,2014-08-18,13158839
bitcoin,2014-08-19,13163489
bitcoin,2014-08-20,13167714
bitcoin,2014-08-21,13171839
bitcoin,2014-08-22,13175764
bitcoin,2014-08-23,13179814
bitcoin,2014-08-24,13183464
bitcoin,2014-08-25,13186889
bitcoin,2014-08-26,13191214
bitcoin,2014-08-27,13195439
bitcoin,2014-08-28,13199764
bitcoin,2014-08-29,13204014
