cryptocurrency_id,timestamp,current_supply
ethereum,2018-03-05,98007442
ethereum,2018-03-06,98027888
ethereum,2018-03-07,98048505
ethereum,2018-03-08,98068805
ethereum,2018-03-09,98089180
ethereum,2018-03-10,98109641
ethereum,2018-03-11,98130173
ethereum,2018-03-12,98150534
ethereum,2018-03-13,98170915
ethereum,2018-03-14,98191325
ethereum,2018-03-15,98211821
ethereum,2018-03-16,98232355
ethereum,2018-03-17,98252768
ethereum,2018-03-18,98273102
ethereum,2018-03-19,98293411
ethereum,2018-03-20,98313822
ethereum,2018-03-21,98334114
ethereum,2018-03-22,98354601
ethereum,2018-03-23,98374835
ethereum,2018-03-24,98395360
ethereum,2018-03-25,98415690
ethereum,2018-03-26,98436122
ethereum,2018-03-27,98456390
ethereum,2018-03-28,98476744
ethereum,2018-03-29,98497146
ethereum,2018-03-30,98517639
ethereum,2018-03-31,98538100
ethereum,2018-04-01,98558305
ethereum,2018-04-02,98578770
ethereum,2018-04-03,98599160
ethereum,2018-04-04,98619459
ethereum,2018-04-05,98640059
ethereum,2018-04-06,98660492
ethereum,2018-04-07,98680745
ethereum,2018-04-08,98701103
ethereum,2018-04-09,98721400
ethereum,2018-04-10,98741932
ethereum,2018-04-11,98762171
ethereum,2018-04-12,98782370
ethereum,2018-04-13,98803003
ethereum,2018-04-14,98823389
ethereum,2018-04-15,98843786
ethereum,2018-04-16,98864372
ethereum,2018-04-17,98884758
ethereum,2018-04-18,98905009
ethereum,2018-04-19,98925668
ethereum,2018-04-20,98946021
ethereum,2018-04-21,98966560
ethereum,2018-04-22,98987011
ethereum,2018-04-23,99007490
ethereum,2018-04-24,99027860
ethereum,2018-04-25,99048447
ethereum,2018-04-26,99069249
ethereum,2018-04-27,99089619
ethereum,2018-04-28,99109887
ethereum,2018-04-29,99130618
ethereum,2018-04-30,99151166
ethereum,2018-05-01,99171615
ethereum,2018-05-02,99192481
ethereum,2018-05-03,99213097
ethereum,2018-05-04,99233690
ethereum,2018-05-05,99254405
ethereum,2018-05-06,99275029
ethereum,2018-05-07,99295750
ethereum,2018-05-08,99316126
ethereum,2018-05-09,99336656
ethereum,2018-05-10,99357119
ethereum,2018-05-11,99377783
ethereum,2018-05-12,99398394
ethereum,2018-05-13,99418836
ethereum,2018-05-14,99439231
ethereum,2018-05-15,99459796
ethereum,2018-05-16,99480231
ethereum,2018-05-17,99500881
ethereum,2018-05-18,99521576
ethereum,2018-05-19,99542286
ethereum,2018-05-20,99562943
ethereum,2018-05-21,99583652
ethereum,2018-05-22,99604180
ethereum,2018-05-23,99625069
ethereum,2018-05-24,99645420
ethereum,2018-05-25,99666066
ethereum,2018-05-26,99686779
ethereum,2018-05-27,99707202
ethereum,2018-05-28,99727874
ethereum,2018-05-29,99748524
ethereum,2018-05-30,99769203
ethereum,2018-05-31,99789947
ethereum,2018-06-01,99810507
ethereum,2018-06-02,99831219
ethereum,2018-06-03,99851704
ethereum,2018-06-04,99872509
ethereum,2018-06-05,99892853
ethereum,2018-06-06,99913479
ethereum,2018-06-07,99934282
ethereum,2018-06-08,99954974
ethereum,2018-06-09,99975789
ethereum,2018-06-10,99996245
ethereum,2018-06-11,100017060
ethereum,2018-06-12,100037651
ethereum,2018-06-13,100058182
ethereum,2018-06-14,100078675
ethereum,2018-06-15,100099202
ethereum,2018-06-16,100119780
ethereum,2018-06-17,100140202
ethereum,2018-06-18,100160820
ethereum,2018-06-19,100181296
ethereum,2018-06-20,100201885
ethereum,2018-06-21,100222343
ethereum,2018-06-22,100242991
ethereum,2018-06-23,100263641
ethereum,2018-06-24,100283997
ethereum,2018-06-25,100304533
ethereum,2018-06-26,100325174
ethereum,2018-06-27,100345760
ethereum,2018-06-28,100366144
ethereum,2018-06-29,100386520
ethereum,2018-06-30,100407160
ethereum,2018-07-01,100427587
ethereum,2018-07-02,100448254
ethereum,2018-07-03,100468746
ethereum,2018-07-04,100489218
ethereum,2018-07-05,100509636
ethereum,2018-07-06,100530058
ethereum,2018-07-07,100550579
ethereum,2018-07-08,100570994
ethereum,2018-07-09,100591644
ethereum,2018-07-10,100612003
ethereum,2018-07-11,100632678
ethereum,2018-07-12,100653188
ethereum,2018-07-13,100673482
ethereum,2018-07-14,100693933
ethereum,2018-07-15,100714546
ethereum,2018-07-16,100734925
